subject,block,trial,mu1,mu2,choice,reward,RT
1,41,1,-11.619,-7.890,1,-15.172,0.000
1,41,2,-11.619,-7.890,2,-5.831,0.000
1,41,3,-11.619,-7.890,2,-6.601,0.000
1,41,4,-11.619,-7.890,2,-15.266,0.000
1,41,5,-11.619,-7.890,1,-13.167,0.000
1,41,6,-11.619,-7.890,1,-12.380,0.000
1,41,7,-11.619,-7.890,1,-8.384,0.000
1,41,8,-11.619,-7.890,1,-11.924,0.000
1,41,9,-11.619,-7.890,1,-12.697,0.000
1,41,10,-11.619,-7.890,1,-13.829,0.000
1,42,1,-12.651,-12.300,1,-11.169,0.000
1,42,2,-12.651,-12.300,2,-9.593,0.000
1,42,3,-12.651,-12.300,1,-7.092,0.000
1,42,4,-12.651,-12.300,2,-10.723,0.000
1,42,5,-12.651,-12.300,1,-8.816,0.000
1,42,6,-12.651,-12.300,1,-16.907,0.000
1,42,7,-12.651,-12.300,1,-14.855,0.000
1,42,8,-12.651,-12.300,1,-11.805,0.000
1,42,9,-12.651,-12.300,1,-15.176,0.000
1,42,10,-12.651,-12.300,1,-9.304,0.000
1,43,1,-9.867,-4.696,1,-9.361,0.000
1,43,2,-9.867,-4.696,2,-2.811,0.000
1,43,3,-9.867,-4.696,2,-7.114,0.000
1,43,4,-9.867,-4.696,2,-8.415,0.000
1,43,5,-9.867,-4.696,2,-1.185,0.000
1,43,6,-9.867,-4.696,2,-5.268,0.000
1,43,7,-9.867,-4.696,2,0.985,0.000
1,43,8,-9.867,-4.696,2,-14.109,0.000
1,43,9,-9.867,-4.696,2,-5.181,0.000
1,43,10,-9.867,-4.696,2,-0.818,0.000
1,44,1,17.745,-1.445,1,17.376,0.000
1,44,2,17.745,-1.445,1,13.948,0.000
1,44,3,17.745,-1.445,1,17.869,0.000
1,44,4,17.745,-1.445,1,18.274,0.000
1,44,5,17.745,-1.445,1,18.083,0.000
1,44,6,17.745,-1.445,1,15.552,0.000
1,44,7,17.745,-1.445,1,18.110,0.000
1,44,8,17.745,-1.445,1,23.625,0.000
1,44,9,17.745,-1.445,1,15.746,0.000
1,44,10,17.745,-1.445,1,22.922,0.000
1,45,1,-5.058,2.518,1,-3.380,0.000
1,45,2,-5.058,2.518,2,5.066,0.000
1,45,3,-5.058,2.518,2,7.447,0.000
1,45,4,-5.058,2.518,2,4.827,0.000
1,45,5,-5.058,2.518,2,6.133,0.000
1,45,6,-5.058,2.518,2,-0.753,0.000
1,45,7,-5.058,2.518,2,3.548,0.000
1,45,8,-5.058,2.518,2,1.313,0.000
1,45,9,-5.058,2.518,2,4.669,0.000
1,45,10,-5.058,2.518,2,1.517,0.000
1,46,1,14.018,9.690,1,10.739,0.000
1,46,2,14.018,9.690,1,17.891,0.000
1,46,3,14.018,9.690,1,15.492,0.000
1,46,4,14.018,9.690,1,13.618,0.000
1,46,5,14.018,9.690,1,10.949,0.000
1,46,6,14.018,9.690,1,19.025,0.000
1,46,7,14.018,9.690,1,14.462,0.000
1,46,8,14.018,9.690,1,13.825,0.000
1,46,9,14.018,9.690,1,16.237,0.000
1,46,10,14.018,9.690,1,15.440,0.000
1,47,1,-4.333,6.045,1,-4.733,0.000
1,47,2,-4.333,6.045,2,7.685,0.000
1,47,3,-4.333,6.045,2,7.653,0.000
1,47,4,-4.333,6.045,2,11.418,0.000
1,47,5,-4.333,6.045,2,10.896,0.000
1,47,6,-4.333,6.045,2,2.820,0.000
1,47,7,-4.333,6.045,2,0.012,0.000
1,47,8,-4.333,6.045,2,7.584,0.000
1,47,9,-4.333,6.045,2,5.331,0.000
1,47,10,-4.333,6.045,2,1.730,0.000
1,48,1,2.494,-3.022,1,0.048,0.000
1,48,2,2.494,-3.022,2,-2.245,0.000
1,48,3,2.494,-3.022,1,5.137,0.000
1,48,4,2.494,-3.022,1,0.686,0.000
1,48,5,2.494,-3.022,1,8.603,0.000
1,48,6,2.494,-3.022,1,3.037,0.000
1,48,7,2.494,-3.022,1,8.041,0.000
1,48,8,2.494,-3.022,1,-0.746,0.000
1,48,9,2.494,-3.022,1,2.340,0.000
1,48,10,2.494,-3.022,1,3.915,0.000
1,49,1,-30.206,-0.056,1,-29.224,0.000
1,49,2,-30.206,-0.056,2,-4.156,0.000
1,49,3,-30.206,-0.056,2,4.047,0.000
1,49,4,-30.206,-0.056,2,-3.186,0.000
1,49,5,-30.206,-0.056,2,0.297,0.000
1,49,6,-30.206,-0.056,2,-2.924,0.000
1,49,7,-30.206,-0.056,2,2.461,0.000
1,49,8,-30.206,-0.056,2,5.510,0.000
1,49,9,-30.206,-0.056,2,-2.745,0.000
1,49,10,-30.206,-0.056,2,3.309,0.000
1,50,1,0.956,1.470,1,0.500,0.000
1,50,2,0.956,1.470,2,3.777,0.000
1,50,3,0.956,1.470,2,7.113,0.000
1,50,4,0.956,1.470,2,-0.910,0.000
1,50,5,0.956,1.470,2,-1.461,0.000
1,50,6,0.956,1.470,2,0.845,0.000
1,50,7,0.956,1.470,2,2.876,0.000
1,50,8,0.956,1.470,2,3.866,0.000
1,50,9,0.956,1.470,2,-2.258,0.000
1,50,10,0.956,1.470,2,5.480,0.000
1,51,1,-11.887,-9.143,1,-12.055,0.000
1,51,2,-11.887,-9.143,2,-7.079,0.000
1,51,3,-11.887,-9.143,2,-14.791,0.000
1,51,4,-11.887,-9.143,1,-10.843,0.000
1,51,5,-11.887,-9.143,1,-13.638,0.000
1,51,6,-11.887,-9.143,1,-12.045,0.000
1,51,7,-11.887,-9.143,1,-12.775,0.000
1,51,8,-11.887,-9.143,1,-19.337,0.000
1,51,9,-11.887,-9.143,1,-14.057,0.000
1,51,10,-11.887,-9.143,1,-13.103,0.000
1,52,1,3.922,10.733,1,-3.451,0.000
1,52,2,3.922,10.733,2,16.453,0.000
1,52,3,3.922,10.733,2,12.541,0.000
1,52,4,3.922,10.733,2,9.218,0.000
1,52,5,3.922,10.733,2,11.580,0.000
1,52,6,3.922,10.733,2,11.037,0.000
1,52,7,3.922,10.733,2,8.762,0.000
1,52,8,3.922,10.733,2,16.696,0.000
1,52,9,3.922,10.733,2,8.846,0.000
1,52,10,3.922,10.733,2,5.661,0.000
1,53,1,-8.322,11.118,1,-10.173,0.000
1,53,2,-8.322,11.118,2,13.482,0.000
1,53,3,-8.322,11.118,2,11.108,0.000
1,53,4,-8.322,11.118,2,13.139,0.000
1,53,5,-8.322,11.118,2,11.703,0.000
1,53,6,-8.322,11.118,2,9.781,0.000
1,53,7,-8.322,11.118,2,14.924,0.000
1,53,8,-8.322,11.118,2,9.651,0.000
1,53,9,-8.322,11.118,2,10.143,0.000
1,53,10,-8.322,11.118,2,13.810,0.000
1,54,1,-0.416,-9.457,1,0.816,0.000
1,54,2,-0.416,-9.457,2,-10.063,0.000
1,54,3,-0.416,-9.457,1,0.349,0.000
1,54,4,-0.416,-9.457,1,0.762,0.000
1,54,5,-0.416,-9.457,1,4.868,0.000
1,54,6,-0.416,-9.457,1,-0.719,0.000
1,54,7,-0.416,-9.457,1,-4.167,0.000
1,54,8,-0.416,-9.457,1,-1.982,0.000
1,54,9,-0.416,-9.457,1,-1.942,0.000
1,54,10,-0.416,-9.457,1,1.994,0.000
1,55,1,4.885,-4.058,1,7.282,0.000
1,55,2,4.885,-4.058,2,-7.106,0.000
1,55,3,4.885,-4.058,1,6.572,0.000
